epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0875,3.54446,97.4772,1.25765,0.33564,0.31202,0.21056,0.04949,3.02015,5.55969,0.99759,0.000658824,0.000658824,0.000658824
2,111.348,2.66129,2.94668,0.97282,0.39191,0.30099,0.21276,0.05099,2.97173,3.35464,0.96232,0.00131674,0.00131674,0.00131674
3,165.338,2.60442,2.70544,0.95024,0.47172,0.44432,0.37025,0.10803,2.62901,2.51775,0.92741,0.00196586,0.00196586,0.00196586
4,219.148,2.57021,2.61845,0.95331,0.61183,0.4774,0.45788,0.14683,2.45943,2.32212,0.9433,0.0019604,0.0019604,0.0019604
5,274.052,2.52372,2.62381,0.93868,0.40675,0.32856,0.26075,0.06598,2.97755,2.6347,0.96147,0.0019472,0.0019472,0.0019472
